,sentiment,preprocess
68,worry,think might flu caus def clean stanki puke mess poor pumkpin
69,happiness,great see oin amp cynthia happi dinner great cute littl place bad oin got sick afterward
70,neutral,cant give bday nudg
71,worry,woman transfer first impress sexual matern onto less threaten weak
72,neutral,brother bloom open weekend paso buy brick enjoy watch brother bloom
73,neutral,say miss plurk
74,worry,bitten blood way rabi bacterin seem shot month never wash cat home hate water
75,neutral,miss voobi
76,neutral,neither elp
77,happiness,dude favorit sandwich place ever ummm pictur
78,worry,sad shin ae got marri alex
79,worry,sure tweet back news abuzz tr knight leav quot confirm quot today trist
80,sadness,ohh thursday exam day wednesday
81,neutral,mix dentist appt afternoon reschedul tomorrow
82,sadness,think excit guy move realiz sad see go
83,worry,goooood mooorn peopl sun definitli spring first spring hail storm car dimpl
84,sadness,love sakey usb stick gb australia
85,worry,fresh princ sleepi sleep nightli routin got ta go dmv earli tmrw
86,hate,dammit hulu desktop total screw abil talk particular port dev server watch code
87,worry,jealou mom talk see twitter make miss
88,worry,sleep keep think puppi play today
89,worry,supppos sleep got much amp got part song stuck head quot jerk iknow quot blaahh
90,neutral,go sweetheart
91,neutral,freak difficult get system wide spellcheck shit settl offic suit stupid unhelp window
92,worry,last month due summer strawberri availbl chennai market
93,neutral,work got ta go bed soon
94,love,correct ador pluck put arm cuz cryin better hahaha
95,sadness,hiii ipod cant fall asleep
96,sadness,dont wan na work tomorrow get paid
97,sadness,feel sad coz wasnt abl play guy
98,neutral,princecharm
99,hate,cayogi want bz summer sure anymor teacher life summer suck
100,worry,first ever drop call mobil call less charg data even though data pack
101,hate,win sigh rakeem
102,neutral,oh time real
103,sadness,darn allergi like time year never use problem either
104,worry,oh minut late oh well
105,hate,damn suck
106,sadness,want bz summer sure anymor teacher life summer suck
107,hate,websit gave viru open window kept pop
108,worry,ahh big scari bug fli around room
109,sadness,wish knew put stole heart never gave back occasion like like look
110,worry,nasti cough cant sick huge weekend ahead
111,neutral,stone cold crazi
112,boredom,tire
113,neutral,shift time bbye biochem waaaaahhhhhh
114,neutral,sure play workin midnight
115,neutral,second wish rain
116,sadness,earli happi day birth case make tire therapi today take medicin misshu love
117,neutral,damn eric anyon els need hair play
118,neutral,feel deflat ugh
119,sadness,allergi suck duck nut lt gt
120,neutral,well almost good day guess retri tomorrow
121,hate,waraku tasteless expens portion littl waraku
122,love,sound good appreci suggest week still offlin time ask refund
123,worry,die wait magic jack read
124,hate,youstinkatrespondingtotext
125,sadness,wonder karma point turn
126,happiness,need pack cali cali can not waittt think glass wine order celebr weekend vaca still work morrow tho
127,sadness,miser feel like gona cri sux
128,neutral,well ran beer left sure eta wait wait wait bleh gon na long nite methink
129,worry,nose stud fell find look like head amsterdam today get new
130,neutral,clair love show got offic radio
131,love,pat philli love mmm cheesesteak miss boyfriend love vacat
132,sadness,sigh go bed feel right anymor
133,neutral,focus tom much see belov barack oh must vote poor presid vote
134,neutral,epicentr wheelock place tourist
135,sadness,depress watch think danc
136,sadness,cross caus stuck twiddl thumb ugh
137,neutral,miss th
138,neutral,know like said idea long take investig stuff
139,worry,cant sleep sore move
140,neutral,awe miss babi
141,empty,answer never learn write french basic stuff
142,neutral,chocol never say
143,worry,achiev new appreci xml build script realli pain cumbersom
144,neutral,awak nap afternoon
145,worry,cant anyth
146,neutral,still need anoth hour sleep
147,relief,work
148,fun,rip leonardo great mini fiddler crab
149,neutral,morn tweepl way earli
150,sadness,last day work uni today sad time
151,love,thank neemah gon na soooo close izzi yet far
152,worry,head hurt bad could scream
153,worry,go tire airmatra broken somewher even pain
154,worry,new work well challeng go well commit check email pm fail first day twice
155,worry,new blog post blog auto insuran found auto insur polici expir careless meanw
156,neutral,bestfriend
157,worry,oh realli see guy
158,worry,show age renew tag last week went got insur renew email today went wan na old
159,worry,sole support sole support
160,hate,hate finish work still hour left work time
161,worry,urgh stop guy
162,sadness,still miss husband realli home
163,sadness,miss puppi
164,surprise,day month left mb left onpeak download
165,fun,get memo look amaz
166,sadness,given pizza kid would never let fav hot one
167,worry,read tabloid peopl live think gon na babi leav
168,sadness,yearl home die sad whole famili
169,neutral,fun sun hmmm hell cold
170,worry,got giant splinter stuck underneath finger nail today muppet hurt got go first aid first time
171,sadness,hate chang cours fan life lt oh rob someth went horribl wrong
172,worry,feel sad reason
173,sadness,well fuck new pain odd warn actual appli chan displeas
174,sadness,upload new blog pain stori year old cri want sad
175,neutral,think detail
176,neutral,hi mari poppin
177,worry,addict kind curs night time everytim feel like make music afterward
178,neutral,last tweet send bad phone
179,fun,omg ur aliv lol day gone sooo slow go insan grrr anyth tonight
180,empty,headach go bed goodnight
181,neutral,watch parent control
182,fun,get california vintag ahahah best dress dont ebay
183,sadness,saw pic past thanksgiv sad grandma
184,worry,wont let
185,sadness,took shift tomorrow realli feel like work right
186,sadness,money phone
187,worry,spent last night amp wife tangl wheel daughter amp hit deck disloc amp fractur result
188,worry,day readi visit torchwood see heard anyth
189,surprise,bri hear thunder
190,surprise,bec vs fat food winner fat food weeknend beat
191,sadness,bad red devil disappoint say least
192,surprise,dream pretti pretti beach beach woke
193,sadness,ware fast enough x x ssd raid mhz iop hpt might tri adaptec ghz
194,surprise,heck garag get ask
195,worry,ate mandi pleas forgiv realli sorri wan na lose bff
196,hate,umm yeah probabl pretti good note self eeeeee
197,worry,plane ticket expens
198,fun,umm yeah probabl pretti good note self eeeeee
199,worry,need job badli
200,sadness,daaammmnnnnn wish
201,worry,went bella coffe roaster today ask job person need speak holiday fb
202,sadness,play latter part voodoo villag part co lost usual partner
203,empty,nite bore oppos almost sleep frm b
204,sadness,bad friend
205,neutral,happi birthdayyy hope awesom day see next last night
206,hate,shit right vacat got workin
207,neutral,oir
208,neutral,guess go girli still gym work
209,hate,would wish sever migrain would stop doc prescript arent work
210,love,miss game
211,sadness,internet last night brill massiv explos nearbi ga work standbi
212,hate,cuz airlin super lame
213,sadness,still piti come lamb though
214,sadness,sorri hear optimist thing get better us
215,relief,done paint bedroom furnitur still tabl wait move uggh move heat
216,hate,tire insomnia
217,neutral,hungri fool probabl never see krispi kreme enjoy close
218,neutral,airport didnt show tonight homo
219,hate,hate bakersfield hate port let go home alreadi start vacat
220,neutral,
221,neutral,look desktop twitter app actual let access url suggest like twittl link
222,worry,peopl hous know close door
223,surprise,complet facebook quizz time morn especi friday morn
224,neutral,amp soooo hungri
225,worry,like possibl left side brain hurt thing call vp shunt possibl death
226,sadness,cancel wow
227,worry,want make music profil money know write music know play instrument studio
228,sadness,yeah sad quot ravenclaw quot account love account bit
229,worry,hear helicopt fli hous kind weird news headach back booooo
230,worry,oh alway lt
231,neutral,back school ms suhana last day ft ocu okay play altnoy
232,neutral,poll tri get work powerpoint avail
233,happiness,took math test today day test teacher say bring calcul luke confid teacher decid calc
234,happiness,omg concert awesom madrig gave chill almost everi piec brook call alumni didnt get go
235,neutral,yeah terribl cockatoo hardest live emot good thing found though
236,sadness,late nothin
237,worry,think vog make sicker think feel slightli achi
238,empty,watch harper island lol vodka involv
239,worry,homework sux big time math worst
240,neutral,would better imo let play song provid start quot get quot black
241,neutral,wordsaftersex never start
242,sadness,sometim wish thing could go back way begin last summer
243,worry,download new twitterfon updat think fix type problem new tweet
244,empty,trudi burnet north goe
245,sadness,feel way guess matter alway meme
246,happiness,minut treadmil done minut today alreadi gon na minut
247,worry,sooooooooooooo confus
248,neutral,friend like vaiko nedumaran ltte need enemi wrong advic wrong time led numer death amp lost caus well
249,worry,work day
250,happiness,chillin roomi wait zombi clwn cr gon na week
251,neutral,looov guitar play think sound magnific better
252,worry,refund retriev account take like week hope thief use hack permaban
253,neutral,cri lol
254,sadness,cute malay girl came seemi room rent sadli think guyfreind bit mislead disappoint lol
255,surprise,epicentr wheelock place unit amp tourist start today
256,hate,hate new mt dew commerci giant mosquito scare gross time
257,neutral,knight well hour
258,worry,super keen drive home rain addit concentr requir realli wan na deal
259,surprise,aw let secret
260,surprise,sorri think stick least compar use look like
261,worry,transport church wont make crush oh well time assign suppos throat realli hurt
262,hate,hate see pregnant women smokinggg sooo irrespons selfish saaad ultim babi suffer
263,hate,lie lie lie cant avoid lie practic everyth
264,neutral,twittascop rock sock go away alreadi
265,neutral,drive back home forgot piec cake
266,worry,tri jump without trampolin like thud thud eaten cooki
267,sadness,everytim send email coach feel need practic shitti ball lol
268,sadness,piss let follow ericka
269,sadness,go sleep peac want hear say good night happen good night everyon
270,sadness,mum tri make feel ebtter stop vote adn win shortstack almost cri
271,neutral,close taco spot late
272,empty,umm bout aint get see game see dey surviv anotha game seri due notin lebron guessin
273,surprise,think much work
274,worry,forgot live jona brother facebook
275,sadness,seen muffin two whole day
276,sadness,miss back give regard
277,surprise,gap year go quick
278,worry,admit bit bum friend walk today
279,neutral,girl blunt soooooooo thought right absolutli great day stressor home
280,worry,twitter hack
281,sadness,found mj mous flat dj cours none left size
282,neutral,wont time buy need new binder
283,hate,hahaha well tri ugli
284,neutral,ulduar hard
285,worry,even know know vhemt go miss
286,fun,awesom weekend go move sat lot fun though
287,neutral,night night twitter world still cant believ thoma thing tomorrow gunna fun sad
288,neutral,happen
289,surprise,oh hug
290,neutral,bore talk someon busi someth els kinda bummer idk
291,sadness,knoww thing same lt
292,worry,omg ness pm need beup earli set garag start wish said beat
293,happiness,kno doooo yall partyin
294,worry,okay twitter suddenli chang respond messag
295,neutral,ugh dad told read articl kavya shivashankar spellin bee girl like
296,worry,decid matter good hair look curli justifi burn get curler hand cover suck
297,sadness,go sleep gon na fall asleep play app tmrw go suck
298,neutral,yea got ta
299,hate,hate bf beat dog guess way teach pitt
300,worry,sprain ankl like realli badli tore stuff hurt birthday weekend
301,sadness,believ metal gear solid song stolen disappoint
302,hate,think may broke toe bar tonight thank drunk girl steppin
303,neutral,done today work explor balconi big theater w cowork fun day void chili fri tip
304,sadness,wish left dead first need someth play
305,neutral,
306,neutral,stori remind live portug
307,neutral,your diabet dad amp might sure still allow eat sugar throughout day
308,happiness,spill beer leg wast half beer home cute girl good convers
309,hate,roommat love ignor
310,neutral,make nacho tomorrow better would made
311,neutral,yeahhh amp dont judg pillow
312,relief,scari lightn thunder glad go sleep hope late school tomorow haha
313,sadness,teeth head hurt
314,sadness,hate rob zombi movi amp smell weed vommmm
315,hate,math scienc strongest think dunno bout geographi like day studi year work
316,boredom,wait line tryst
317,worry,hope get job cuz need apart drunk amp miss lil punkin tehe
318,worry,got home want read last chaper break dawn caus dont beover
319,worry,need held gnite
320,worry,hang sam billi veronica go school tomorrow sam bodi shop dang car accid
321,sadness,arrest develop sad
322,neutral,wick time leav cant stay night
323,sadness,omg keep lose follow sad day that goal
324,sadness,feel deflat doggi
325,worry,wan na see hair how everyon
326,sadness,empti trash mac difficult thing ever done life pictur gone
327,sadness,contact paw philippin find quot tiger quot new owner sad love soo much
328,sadness,got home want read last chaper break dawn caus dont
329,worry,aww pray arroyo famili everyon
330,neutral,manual process take ever outlook databas pffff crappi msft product
331,sadness,fuuudg movi store close
332,sadness,alo sad quiet empti tonight
333,hate,hahahaha horribl other sing sure could work wish could afford drum set
334,worry,never answer dm sent need info
335,worry,tri get pilot first season friday night light oh gosh pass tissu
336,sadness,aw head cancel trip aussi
337,worry,cystic lacrim infectect eye swollen hurt
338,worry,think anyon caught
339,empty,need sleep even tire
340,empty,
341,neutral,oh nevermind think thing unsalvag
342,neutral,lyin bed faaaaar earli
343,sadness,sad christian lacroix file bankruptci
344,sadness,dont feel good fuckkk
345,boredom,agre work doubl shift
346,worry,look like never go zoo
347,worry,ohh poor girl email reli octob mr
348,neutral,medhurst play
349,worry,bad time
350,hate,aarrgghh hose leak water new float floor
351,sadness,go dread dmv tomorrow
352,neutral,bit thai
353,happiness,english class work interact oral
354,worry,thank rec work
355,neutral,sorri excit tomorrow night karaok get anyth special bday
356,worry,puppi gizmo hs haha still growl alway look back long prupl scar fingi
357,worry,know ima work tomorrow wit bodi di sore ugh
358,neutral,w
359,neutral,yeah plu littl far walk pinocchio sushi
360,worry,feel pressur head alway kick nasti headach look forward
361,sadness,taylor swift joe jona look realli good togeth kinda sad broke
362,worry,suppos turn sentenc outlin research paper within hour onlin neck hurt
363,worry,ladi across way miscarriag say prayer
364,sadness,god sleep
365,hate,ohhhh thunderstorm boo alway make power go
366,worry,feel deflat doggi
367,sadness,found book start real paper bound journal tonight annoy zit lip make look like herp
368,hate,ratt rock nashvil tonit thing suck encor like still fun show pearci hott bad boy look
369,worry,feel bad got bad news mum
370,sadness,dun wan na
371,sadness,damn girl got ta let know get kit togeth amp got flyer next weekend quot
372,sadness,dbl booooooo sick flippin blow bahaha kno dont mani friend either feel lame haha
373,neutral,that think time gon na
374,neutral,peep still fun time got ta sleep tho work cool hot chick none cool miss
375,worry,feel like work think tweet often
376,sadness,feel sick stomach idkk whyy
377,worry,vineri special probabil weekend pierdut
378,neutral,count hour lost sunshin weekend
379,surprise,dude saw sf pic look like mini excurs pretti kick ass see sun tho
380,relief,home safe hungri
381,sadness,thrown yesterday taken
382,worry,got final tabl went third think get free seat
383,neutral,good morn work morn gut lol nevermind
384,hate,work morn friend get parti stupid bberri lite flash red messag
385,happiness,fb bore wan na sing right
386,sadness,link work
387,neutral,hahaha know anyon anyth except power lol live bubbl
388,worry,humpalow think cell die
389,worry,last day work sick bone
390,worry,feel like hous arrest
391,neutral,love like easi begin hard fiuuhh
392,surprise,ur suppos bk tho
393,worry,know shortag shell crab use beach due beach comber sad
394,surprise,oh nighti night
395,happiness,must new music sleep give us chapter might first though hurri
396,sadness,stupid tooooth hurt
397,love,love song quot togeth quot quot quot song well think still
398,neutral,readi go school
399,sadness,comput broken broke laptop use phone ahh still caus fuck order
400,neutral,good holiday chalet sight look similar one go home today
401,worry,sad economi heard anoth friend lose job sad remind
402,worry,start feel realli panicki anxiou someth bad happen co seem like age
403,worry,ran awayyy
404,hate,suck bad
405,worry,back top molar extract swollen numb toothach sinu pain
406,relief,finish hour texa life insur tonight hour go
407,worry,anyon know good rap song need make rap fun cd idea helllllpppp
408,love,go peru summer ahhhhhhh hope yesyesy miss
409,empty,happen maid quit
410,sadness,awak anybodi els awak wish live us sinc fun happen asleep
411,hate,charl power lol damn savemart lost power could buy beer
412,sadness,heehe love tire
413,worry,mobil phone refus charg either batteri broken chargerrr booooo
414,worry,oh wish would get sign someth send let call meet someth
415,worry,hmmm thought sleep bad see video tomorrow night
416,sadness,morn everyon sorri go earli last night bad news felt total crap today new day
417,empty,went beach start rain
418,sadness,wish parent put chines school younger much easier get job
419,relief,yeah physic move appar report directli mr hayward
420,neutral,airport didnt show tonight homo
421,worry,jealou look like schindler list toronto
422,enthusiasm,anoth tatt
423,neutral,erock left bah
424,enthusiasm,need make lot money tomorrow
425,sadness,room make sad
426,worry,nearli fell asleep jolt bed massiv panic attack sure sleep
427,neutral,gay made tonight
428,sadness,oh f ck complet forgot thirsti thursday oh gaga suck
429,sadness,peopl wrong world blame peopl great world live shit
430,surprise,nope sleep cuz live east coast
431,neutral,bet cool sr huh stop sweat sinc noon dad pack
432,sadness,eww dislik
433,worry,tactic mistak go citi librari buy milk knew ouch ouch ouch mayb good thing tri uni
434,neutral,decid tran frm relax natur hair wish whole head look like root age instant gratif
435,sadness,sorri bout
436,neutral,need increas salari
437,worry,stomach feel like touch ground full
438,love,pug woke incred sleep
439,love,wait hear new album sure amaz pleas replay love much
440,worry,sooo much work littl time
441,sadness,miss iron chef
442,sadness,ds version suck
443,sadness,bad day
444,enthusiasm,know ridicul never got hang love chicago go shop trip sound like fun
445,hate,hate net ayaw bumuka ng twitter
446,worry,ugh internet
447,surprise,omg didnt tweet much today sad
448,worry,feel giddi wan na go home
449,neutral,week wasnt without adam lambert perform
450,neutral,link work
451,worry,pack last day youth camp
452,neutral,gossip girl come back chaceeeeee
453,neutral,smh hiphop nurseri rhyme
454,worry,somebodi pleas save polar bear
455,happiness,noooooooooooo look lot pictur lol lol
456,surprise,realli sleepi bore right word much work
457,worry,attent friend recent gain weight know
458,worry,guess stay home tonight movi ing
459,sadness,went cd store search cd
460,worry,remind weather month ago horribl hope well hug
461,sadness,miss mom quot may angel lead quot
462,love,realli android twitter app tweeti calibr
463,hate,jacksonvil beach walk cold ass water work morn ili lt gt
464,neutral,
465,sadness,feel way everi day
466,sadness,sleep suck day sleep get go shop mom ugh
467,neutral,well got home tmw p comcast right didnt miss
468,sadness,sleppytim realli miss godfath right love wayn
469,sadness,headach right suck
470,worry,hope sleepin well guy still
471,fun,finish color draw
472,sadness,laker babi laker miss game tmwr work keep post pleas
473,sadness,comfort food day pan mee though didnt tast good
474,worry,damn drunk hot suck
475,sadness,miss babi
476,worry,sleep paperwork
477,worry,shower ice cold water sweat mean thing sick
478,worry,midnight cri wish person want want right
479,neutral,need follow real quick caus dm
480,sadness,poorli sleep
481,worry,went pole class feel discourag hopeless cone danc sexi move spread leg
482,worry,poor unfortun soul appear pant
483,worry,told often wash hair would never speak
484,worry,look like anoth sleepless night dedic homework sorri advanc ms chapman
485,worry,lot mock
486,worry,didnt say goodnight
487,hate,pussi damnit send mail right btw
488,sadness,work tom
489,neutral,hongkong intern airport wait hour next flight cebu
490,neutral,sleep noth tv
491,love,pic upload babi pic cat missi adult pretti littl kitti batti kitten heaven
492,neutral,oh superseed good enough
493,sadness,today say goodby second good friend week dmp least sun shin defin work pm
494,anger,fuckin transtelecom
495,boredom,realli realli bore guess go bed
496,worry,stranger ago stalk store
497,surprise,tee beefin suppos leavin
498,sadness,sometim thing say hurt one love unintent never ever back fix
499,sadness,suck
500,neutral,iiii know mean
501,sadness,fever dont feel work
502,worry,take hors pill hope get sleep tonight
503,neutral,pgpm student pgpm student year back wish could stay
504,sadness,miss day pass quick enough
505,hate,hey school hate place
506,sadness,work home today back kill doctor physio later today
507,neutral,back work distract
508,happiness,say hi enough replay pleas love much
509,neutral,never notic
510,neutral,suck well state start tomorrow headin bed nitey nite
511,worry,look like go nice work today annoy choic
512,neutral,guy keep set list forgot ask xx
513,neutral,first impress silverlight sadli base saw today quit problemat
514,worry,desperatli hope dad take vanessa game
515,worry,hi fuck job
516,sadness,miss deepli
517,neutral,time go bed get go work
518,happiness,big vanessa go septemb go fast hard cuz workin much miss alot
519,sadness,sniff sniff ravel hope chat soon mean time hella miss
520,neutral,lucki teleport
521,worry,somebodi pleas save polar bear
522,worry,nose runni head pound teeth hurt like bitch feel aw
523,sadness,leav
524,relief,headin home refresh mind soul justa lil bit bac realiti
525,happiness,good lord seen agenc work upcom open day money jam
526,empty,wut
527,anger,work fridaaaayyyyy
528,worry,grove drag hell hope suck
529,worry,feel like shit say happi belat birfdayi month late
530,sadness,lmao that sad kinda discourag rom goin shit wack
531,surprise,got home work finish clean need eat dinner know ugh oh well might eat
532,sadness,wish
533,sadness,miss littl batti month old got sick alway fun full life lt even
534,neutral,fc final time hate keep happen
535,neutral,serious bore without anyon talk tire enough sleep
536,sadness,morn hate morn offens
537,neutral,still give comput break omg
538,sadness,bed bed bed never answer text anymor thought day sent never heard back sad day
539,neutral,
540,sadness,waah longer peep
541,sadness,lol wow dawg sound like play feel bad haha
542,surprise,extremli deep
543,happiness,littl foster kitten get big chubba winston go b miss get amaz home
544,enthusiasm,week exam block
545,neutral,home cat right
546,worry,hope fail english would sad
547,worry,know would great shoulder stop hurt sleep normal need solid hour good sleep
548,neutral,leno last show tonight like better conan
549,sadness,sorri bad drive experi
550,neutral,
551,sadness,alreadi miss
552,hate,plan may chang nooooooo
553,hate,sister douchebag
554,surprise,relist fee complet suck
555,neutral,random
556,worry,knew worn sar mask plane socal feel begin sore throat
557,sadness,gut bathroom still free earli work go happen need loo
558,neutral,juli long
559,worry,awww wish could stuck jab eye knit needl
560,surprise,wonder mnet show
561,neutral,wear glass give headach
562,enthusiasm,stop talkin food haha fill like sum nw hha how day goin start
563,worry,finish sew night upload pictur slidebar beach cant believ difficulti twitter
564,sadness,thank cant wait ummm btw ima crash still sick
565,sadness,first work comput home laptop fuck
566,worry,liesgirlstel guy call phone see number real ohh phone work tri tomorrow
567,worry,beer friday melbourn cbd mtub mini cmon thirsti lone bugger make feel like scotti mate
568,worry,know came back st lose lead last minut
569,worry,gosh summer vacat almost philippin kinda sad wonder section
570,neutral,page ms twitterworld vote
571,worry,bum wear sweet nike kick work
572,worry,twitter broken
573,neutral,sleep good night tweeti oc tomorrow hope pray rachyl get better soon
574,sadness,depress stuck insid day
575,worry,even saw news feed archi websit believ choos veronica disappoint
576,sadness,hate sick miss
577,neutral,eat slider barjohnni theyr pork tho beef still search
578,happiness,get readi school second math test today last day rd year next week offici th year
579,sadness,woke wan na stay bed
580,worry,depress includ morcom garden quiz facebook
581,worry,yeah still total high soooo notlook forward aug sept
582,sadness,upsidedown tomato plant die
583,boredom,deep priec soul
584,worry,oh get next week get next week full exam
585,neutral,friday last much fun skint though
586,worry,know tell anyon dont know dad told famz yet think take onlin
587,sadness,caan iht earlier icant wait long ahar
588,happiness,friday yay bonu drive wale tonight athough miss kitten cuddl go ride
589,worry,children promis birthday brekki bed problem bugger food hous
590,worry,woop realiz dm go
591,neutral,think abl get bed tomorrow morn seeeee
592,surprise,cant use blackberri today suck
593,enthusiasm,q studio creat open season googl look dvd downstair feel lazi
594,neutral,time chang
595,sadness,hate
596,hate,time tv bed spend day catch studi hate onlin summer class
597,neutral,video avail us foreign
598,sadness,want visit anim late
599,worry,pc agre problem must stop spend work
600,sadness,jonaswebcast miss
601,hate,dang realli look like crap sigh min shower min get readi
602,neutral,wait get pick
603,sadness,exhaust sleep like night
604,sadness,gon na miss live comet action tomorrow go cousin access interwebz
605,surprise,lol cant drink
606,surprise,bill compton wii twitter
607,sadness,sorri hear
608,worry,morn sport day today three leg race mr pettigrew said aloud trip
609,sadness,found drink bar booo miss palomino cheer sad
610,worry,can not sleep hour toss turn
611,worry,omg go swine flu go melbourn
612,anger,pack like
613,neutral,dang certain okay
614,neutral,wish dave gilmour roger water would unit pink floyd concert
615,sadness,finish whole box ice cream
616,neutral,hors town blown car speaker
617,neutral,someon make cofffeeeeee
618,worry,plu deposit tax return chequ first time year clear immedi
619,love,photo martwo omg love accadent delet photo yay he beauti
620,worry,knooww amp hot water bottl iss whangamata without ahhhhh
621,neutral,nose stuffi
622,neutral,last night newport
623,relief,thank rt sorri new place domest
624,happiness,ok shoe club cool fun poppin except ppl tryna danc wit
625,worry,holi crap rain jacket oh
626,neutral,aright twitter fam guess ima outti gon na tri sleep horribl pain
627,neutral,babi reciev vaccin
628,worry,wish could attend year small event like nba stanley cup final keep get way work work work
629,happiness,lol hi emmi latin would help studi aptitud test get grad school that wan na
630,sadness,btw wimp
631,relief,lol yeah yeah big perv hope see next week scrap plan
632,worry,reject food substanc
633,worry,tri interview dr paul twomey ceo icann phone issu cut interview min
634,sadness,add myspac girli ask last email
635,hate,back vienna sooo tire luggag lost manchest great good outcom seminar mb amp great peopl around
636,worry,think needl watch horribl gori short film drug month ago scar life
637,sadness,wan na go back work sleepi time
638,worry,feel good
639,neutral,watch biggest loser hallmark never fail make cri nyeh
640,neutral,suck old actual
641,worry,think get work
642,neutral,still confus
643,worry,naughti girl tonight dissappoint
644,worry,better missi tell biggest loser
645,sadness,noooo goe orlando omg gon na cri
646,surprise,aaaaaahhhhhhhh soooooooo sweeeeeeet miss age soooo much
647,surprise,saw fox get freeway hope goe home
648,neutral,scratch sleep stage bound
649,surprise,recap britain got talent britain seem talent america
650,neutral,cnt get goin ur old messag gt gt gt gt help lt lt lt lt
651,love,good time rock open mic thank love support work busi plan present cg nite
652,neutral,swim go
653,sadness,morn john ye howev diari clash sadli attend
654,sadness,miss friend
655,neutral,ohh ic ic haha iyaa summer fill cours last whole summer
656,sadness,yea saw realli sad commerci
657,sadness,hmmm use tinytwitt small touch screen realli much fun
658,fun,lettuc amp spinach best cool weather live florida much luck grow
659,neutral,
660,love,oh love think kind preserv use stay quot bake quot kinda make sick
661,neutral,unfortun
662,worry,new len work work bit give fee error
663,sadness,hate sleep alon
664,neutral,
665,empty,need new phone
666,worry,back school almost weekend oh wait got ta work eight four tonight
667,sadness,love johnni carson go hate see jay leno go
668,sadness,even though everyon want newish song teacher agre old grumpi like us happi haha
669,worry,english essay r amp wtf done long time ago assign last thursday
670,worry,think much
671,sadness,suffer whole day yesterday dentist feel bit better still look like rocki balboa though
672,worry,realli eat snack sigh
673,surprise,final internet server phoenix fuck
674,neutral,up ketauan cabut nih gimana
675,worry,sorri guy drop trip person commit
676,sadness,get callback play cri oh well guess back techi
677,happiness,awesom wish could fli see
678,sadness,kinda wish went fall asleep
679,relief,nope lost amp found
680,worry,rocki cola diner whittier tonight teacher pal mr b great time chat els came
681,neutral,bed still exhaust vega
682,love,lol true mayb next year looov siggi rememb password thing cake
683,worry,ummm sooo yeh realli hard concentr rite wen weird lupu feel goin thro bodi
684,worry,ouch look pain
685,neutral,took hour nap work today abl sleep night bummer
686,fun,know enjoy watch two twitter entertain comic miss
687,neutral,love lil ken absolut dread say goodby less week
688,sadness,yet sorri
689,worry,back amp relax littl difficult
690,worry,thought best friend
691,neutral,hii that mee woke go school
692,sadness,fall asleep know feel lol drag hell tonight quit excit
